Id,Name,Country,City,Address,Latitude,Longitude
0,The Amble Inn,US,Fennville,2790 Blue Star Hwy,42.621235,-86.21178
5,Days Inn Tallulah,US,Tallulah,143 Highway 65 S,32.38469,-91.19936
8589934595,Spinners Tailspin Inn,US,Kankakee,1895 S Schuyler Ave,41.09319,-87.86923
17179869185,Fireline Hotel,US,Palmerton,1065 Fireline Rd,40.80952,-75.65106
25769803778,The Governor Hotel,US,Portland,614 S W 11th Ave,45.52085,-122.6828
34359738368,Eden Park Guest House,US,Takoma Park,7063 Carroll Ave,38.97528,-77.00991
34359738372,Knights Inn - Wilmington,US,Wilmington,24001 Lorenzo Rd,41.34598,-88.1956
42949672963,Edgewater Inn & Cottages,US,Eagle River,5054 State Highway 70 W,45.914957,-89.274311
42949672968,Residence Inn By Marriott Hartford Downtown,US,Hartford,942 Main St,41.76808,-72.67297
51539607553,Hampton Inn & Suites Fort Worth-west-i-30,US,Fort Worth,2700 Green Oaks Rd,32.73509,-97.43459
60129542145,Mt Gardner Inn,US,Winthrop,611 State Route 20,48.470364,-120.17681
68719476737,Four Points By Sheraton Memphis Southwind,US,Memphis,4090 Stansell Ct,35.03692,-89.7989
77309411330,Hampton Inn & Suites Syracuse/carrier Circle,US,East Syracuse,6377 Court Street Rd,43.09081892,-76.07916895
77309411335,Clarion Inn Strasburg - Lancaster,US,Strasburg,1400 Historic Dr,39.987151,-76.176214
94489280512,Econo Lodge,US,Maumee,1704 Toll Gate Dr,41.58826,-83.66668
103079215107,Monterey Beach Dunes Inn,US,Marina,3280 Dunes Dr,36.69925,-121.805553
120259084288,Holiday Inn Rutland-killington Area,US,Rutland,476 Holiday Dr,43.59359,-72.962371
128849018880,Haltom Inn,US,Haltom City,4526 E Belknap St,32.788714,-97.279915
128849018888,Sunset Inn,US,Worthington,1923 Dover St,43.62909,-95.58076
137438953475,Ambiance,US,Franklin Park,2955 Mannheim Rd,41.930763,-87.884415
146028888065,Landmark Inn Lakes-mountain Region,US,Laconia,480 Main St,43.52591,-71.46874
146028888070,Best Western,US,Deming,1500 W Pine St,32.266278,-107.79062
163208757249,Hotel Roc Lago Rojo,US,Abbeville,Calle Miami 5,36.610974,-4.503823
163208757252,Super 8 Crete Ne,US,Crete,1880 W 12th St,40.62246,-96.98471
180388626434,Best Western,US,Brookfield,28622 Highway 11,39.765741,-93.079983
197568495616,Hyatt Regency Kathmandu,US,Alliance,Taragaon Boudha,27.7216,85.355959
197568495619,Four Seasons Hotel St. Louis,US,Saint Louis,999 N Second St,38.633021,-90.184037
